rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,min_net,sum_net,n_pos
1.25,1,2,short,-1056.6600000000003,0.8822875425271428,234,-3935.0600000000004,0.7344147359441057,244,-3935.0600000000004,-4991.720000000001,0
1.25,1,3,both,186.55999999999966,1.0198460484492082,256,-3606.0800000000017,0.7766953377052022,267,-3606.0800000000017,-3419.5200000000023,1
1.25,1,3,long,-1060.46,0.8803554384199327,229,-1898.6400000000012,0.8604107451906463,236,-1898.6400000000012,-2959.1000000000013,0
1.25,1,3,short,-1022.6600000000003,0.8874822860462456,234,-4210.56,0.7206751200406526,244,-4210.56,-5233.220000000001,0
1.25,1,4,both,303.5599999999997,1.0319869506391912,256,-3494.080000000001,0.7849360177759175,267,-3494.080000000001,-3190.5200000000013,1
1.25,1,4,long,-1254.46,0.8618384388842755,229,-1972.1400000000012,0.85621211436304,236,-1972.1400000000012,-3226.6000000000013,0
1.25,1,4,short,-1335.16,0.8573982736044329,234,-4299.820000000001,0.7164043847036631,243,-4299.820000000001,-5634.9800000000005,0
1.25,1,8,both,210.05999999999986,1.0207952196535912,256,-3784.580000000001,0.7770030121191837,267,-3784.580000000001,-3574.520000000001,1
1.25,1,8,long,-1400.7200000000003,0.8546165614562424,228,-2294.1400000000012,0.8399134161676187,236,-2294.1400000000012,-3694.8600000000015,0
1.25,1,8,short,-1228.92,0.8746368414180321,233,-3697.080000000001,0.7593764359325149,242,-3697.080000000001,-4926.000000000001,0
1.25,2,0,both,-837.9400000000007,0.9355198640741436,256,-796.5800000000011,0.95566812254293,267,-837.9400000000007,-1634.5200000000018,0
1.25,2,0,long,-603.7400000000009,0.9455106336123956,226,151.2799999999986,1.0102686213792047,228,-603.7400000000009,-452.4600000000023,1
1.25,2,0,short,-1213.4800000000005,0.8953463502138815,227,-2049.1800000000017,0.8725810242615758,232,-2049.1800000000017,-3262.660000000002,0
1.25,2,1,both,-777.4400000000007,0.9406978890633128,256,-785.5800000000011,0.9566278869469579,267,-785.5800000000011,-1563.0200000000018,0
1.25,2,1,long,-212.76000000000056,0.9805680529145182,224,-436.7200000000015,0.9711187706828277,228,-436.7200000000015,-649.4800000000021,0
1.25,2,1,short,-1119.9800000000005,0.9040822304020224,227,-1815.1800000000017,0.8872837646345813,232,-1815.1800000000017,-2935.160000000002,0
1.25,2,2,both,-882.9400000000009,0.9336138333210525,256,-1128.080000000001,0.9387463660383544,267,-1128.080000000001,-2011.0200000000018,0
1.25,2,2,long,-221.76000000000056,0.9799746793835641,224,-1110.2200000000014,0.9285904489677254,228,-1110.2200000000014,-1331.9800000000018,0
1.25,2,2,short,-1136.4800000000002,0.9037734347349721,227,-1787.6800000000017,0.8894445138460284,232,-1787.6800000000017,-2924.1600000000017,0
1.25,2,3,both,-600.440000000001,0.9548900198188208,256,-1127.080000000001,0.9392820163619846,267,-1127.080000000001,-1727.520000000002,0
1.25,2,3,long,-229.26000000000062,0.9795284927734491,224,-661.2200000000014,0.9572509549066818,228,-661.2200000000014,-890.4800000000021,0
1.25,2,3,short,-932.2400000000007,0.9210700551520705,226,-2064.1800000000017,0.8743075032607783,232,-2064.1800000000017,-2996.4200000000023,0
1.25,2,4,both,-599.440000000001,0.9554388614994855,256,-1124.580000000001,0.939889483626194,267,-1124.580000000001,-1724.020000000002,0
1.25,2,4,long,-290.2600000000008,0.9744218794886844,224,-665.2200000000014,0.9571950885221684,228,-665.2200000000014,-955.4800000000022,0
1.25,2,4,short,-934.2400000000007,0.9217389264735942,226,-2065.6800000000017,0.8751927380647407,232,-2065.6800000000017,-2999.9200000000023,0
1.25,2,8,both,-874.9400000000011,0.9381386298781917,256,-2054.5800000000017,0.8958031793880389,267,-2054.5800000000017,-2929.5200000000027,0
1.25,2,8,long,232.97999999999928,1.020114376884266,223,-1342.2200000000016,0.9174232906900485,228,-1342.2200000000016,-1109.2400000000023,1
1.25,2,8,short,-973.240000000001,0.9218530943521671,226,-2502.440000000001,0.854371293726031,231,-2502.440000000001,-3475.680000000002,0
1.25,3,0,both,1142.0599999999986,1.0787171569573486,256,1218.9199999999983,1.0638309014206053,267,1142.0599999999986,2360.979999999997,2
1.25,3,0,long,1850.959999999999,1.157658394319746,221,1469.2399999999986,1.0950253402632075,224,1469.2399999999986,3320.1999999999975,2
1.25,3,0,short,-455.0200000000008,0.9654194925172592,223,-3486.7000000000003,0.8073186528497409,230,-3486.7000000000003,-3941.720000000001,0
1.25,3,1,both,1687.559999999999,1.1171861328770587,256,900.419999999998,1.0464413626348235,267,900.419999999998,2587.979999999997,2
1.25,3,1,long,2444.439999999999,1.2127475878731333,219,1142.7399999999986,1.0726480946992332,224,1142.7399999999986,3587.1799999999976,2
1.25,3,1,short,-452.0200000000008,0.965961785511507,223,-3497.2000000000003,0.8081326897523369,230,-3497.2000000000003,-3949.220000000001,0
1.25,3,2,both,1708.059999999999,1.117536391649429,256,909.919999999998,1.0465877370295504,267,909.919999999998,2617.979999999997,2
1.25,3,2,long,2457.439999999999,1.2118143125326455,219,748.2399999999986,1.0466904703367246,224,748.2399999999986,3205.6799999999976,2
1.25,3,2,short,-447.5200000000009,0.9666061749325439,223,-3223.2000000000003,0.8226887150542957,230,-3223.2000000000003,-3670.720000000001,0
1.25,3,3,both,1548.059999999999,1.1049751405717263,256,918.919999999998,1.0467065697823354,267,918.919999999998,2466.979999999997,2
1.25,3,3,long,2289.9399999999987,1.1941104169668817,219,1159.2399999999986,1.0727443868522444,224,1159.2399999999986,3449.1799999999976,2
1.25,3,3,short,-446.0200000000009,0.9670171370088104,223,-3231.2000000000003,0.8235082701822268,230,-3231.2000000000003,-3677.220000000001,0
1.25,3,4,both,1733.559999999999,1.1170993597754144,256,927.919999999998,1.046823687562193,267,927.919999999998,2661.479999999997,2
1.25,3,4,long,2302.939999999999,1.1933602572606443,219,1023.2399999999985,1.0636945371246453,224,1023.2399999999985,3326.1799999999976,2
1.25,3,4,short,-226.2800000000011,0.9832444760381495,222,-3239.7000000000003,0.8242916508026383,230,-3239.7000000000003,-3465.9800000000014,0
1.25,3,8,both,1683.5599999999988,1.1094026380464572,256,97.91999999999791,1.0047116473732278,267,97.91999999999791,1781.4799999999968,2
1.25,3,8,long,2495.9399999999996,1.2037651745842552,219,804.2399999999984,1.0485343265819937,224,804.2399999999984,3300.179999999998,2
1.25,3,8,short,-232.28000000000122,0.9834003190157393,222,-3696.9600000000005,0.8061798724768247,229,-3696.9600000000005,-3929.2400000000016,0
