rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd
1.0,30,0,short,vwap_slope,200,none,622,5542.219999999995,1.1224476359397602,51.12540192926045,-2959.999999999977
1.0,30,0,short,vwap_slope,200,adx,410,1396.5999999999963,1.043540694618425,50.97560975609756,-2209.8799999999937
1.0,30,1,both,none,0,none,1829,19951.039999999986,1.1419252108066396,53.90924002186988,-5221.679999999967
1.0,30,1,both,none,0,adx,1161,7150.85999999999,1.0732648763089268,53.402239448751075,-5999.939999999968
1.0,30,1,both,none,130,none,1370,16715.69999999999,1.2082364759716504,53.86861313868613,-2472.599999999964
1.0,30,1,both,none,130,adx,855,10425.799999999996,1.1975178879692512,54.15204678362573,-1655.2800000000007
1.0,30,1,both,none,200,none,1698,13198.479999999987,1.1091844997069877,53.53356890459364,-3844.3799999999983
1.0,30,1,both,none,200,adx,1071,5042.459999999992,1.0617865238754578,53.31465919701214,-3509.7199999999843
1.0,30,1,both,vwap,0,none,1573,18049.97999999999,1.1511969788045888,54.29116338207247,-3828.699999999997
1.0,30,1,both,vwap,0,adx,1000,7957.499999999993,1.0958825508337173,54.1,-3628.7999999999956
1.0,30,1,both,vwap,130,none,1174,15901.23999999999,1.2393048120294414,54.34412265758092,-3860.079999999969
1.0,30,1,both,vwap,130,adx,733,10963.079999999994,1.2514022746431137,55.25238744884038,-2423.479999999983
1.0,30,1,both,vwap,200,none,1460,15289.599999999988,1.1522901896256688,54.109589041095894,-3657.279999999995
1.0,30,1,both,vwap,200,adx,922,8497.219999999994,1.1257086741029676,54.33839479392625,-3180.659999999987
1.0,30,1,both,vwap_slope,0,none,1418,16355.67999999999,1.1526970756014687,53.73765867418901,-3592.820000000027
1.0,30,1,both,vwap_slope,0,adx,911,4346.859999999993,1.0570659865263745,53.567508232711305,-3592.819999999996
1.0,30,1,both,vwap_slope,130,none,1053,13029.279999999992,1.2160148284220265,53.466286799620136,-4053.5799999999635
1.0,30,1,both,vwap_slope,130,adx,666,10481.659999999994,1.2662464635216288,55.1051051051051,-1817.399999999987
1.0,30,1,both,vwap_slope,200,none,1316,14135.65999999999,1.1558921389255579,53.64741641337386,-3136.7999999999956
1.0,30,1,both,vwap_slope,200,adx,841,6071.159999999993,1.0967367233899756,53.86444708680143,-2523.5999999999995
1.0,30,1,long,none,0,none,1305,17312.29999999999,1.1934827657810556,55.7088122605364,-2905.7000000000003
1.0,30,1,long,none,0,adx,837,11985.619999999992,1.1928643402707264,56.272401433691755,-2905.7000000000003
1.0,30,1,long,none,130,none,1004,13182.539999999992,1.2445953543258872,55.677290836653384,-1476.679999999993
1.0,30,1,long,none,130,adx,626,9479.259999999995,1.2663401777987568,56.86900958466453,-1140.2600000000004
1.0,30,1,long,none,200,none,1222,12631.219999999992,1.1623737129623155,55.319148936170215,-2328.039999999998
1.0,30,1,long,none,200,adx,775,8875.999999999995,1.1699305612724498,56.12903225806451,-2032.3600000000001
1.0,30,1,long,vwap,0,none,854,10622.539999999994,1.1753833819237167,56.557377049180324,-2871.1399999999976
1.0,30,1,long,vwap,0,adx,535,9138.099999999997,1.2270095140241055,58.13084112149532,-2871.1399999999976
1.0,30,1,long,vwap,130,none,662,11750.119999999995,1.3358505191767258,57.09969788519638,-2029.07999999998
1.0,30,1,long,vwap,130,adx,401,9287.259999999998,1.4336570455740392,59.85037406483791,-1106.3399999999965
1.0,30,1,long,vwap,200,none,798,9656.479999999992,1.1897855035138836,56.390977443609025,-2793.4999999999836
1.0,30,1,long,vwap,200,adx,493,8662.679999999997,1.269815324008377,58.620689655172406,-1852.1599999999996
